Common Name,Scientific Name,num_papers,Group
Nuttall's Sheep Moth,Hemileuca nuttalli,0,Insects
Bogbean Buckmoth,Hemileuca sp.,0,Insects
Dromedary Jumping-slug,Hemphillia dromedarius,0,Snails
Warty Jumping-slug,Hemphillia glandulosa,0,Snails
Oregon Branded Skipper,Hesperia colorado oregonia,0,Insects
Dakota Skipper,Hesperia dacotae,0,Insects
Ottoe Skipper,Hesperia ottoe,0,Insects
Dwarf Hesperochiron,Hesperochiron pumilus,0,Flowering Plants
Seaside Centipede Lichen,Heterodermia sitchensis,0,Lichens
Plains Hog-nosed Snake,Heterodon nasicus,0,Reptiles
Eastern Hog-nosed Snake,Heterodon platirhinos,0,Reptiles
Bluntnose Sixgill Shark,Hexanchus griseus,0,Fishes
Swamp Rose-mallow,Hibiscus moscheutos,0,Flowering Plants
American Plaice,Hippoglossoides platessoides,0,Fishes
Atlantic Halibut,Hippoglossus hippoglossus,0,Fishes
Barn Swallow,Hirundo rustica,4,Birds
Harlequin Duck,Histrionicus histrionicus,0,Birds
Little Barley,Hordeum pusillum,0,Flowering Plants
Western Silvery Minnow,Hybognathus argyritis,0,Fishes
Plains Minnow,Hybognathus placitus,0,Fishes
Eastern Silvery Minnow,Hybognathus regius,0,Fishes
Goldenseal,Hydrastis canadensis,0,Flowering Plants
Water Pennywort,Hydrocotyle umbellata,0,Flowering Plants
Cope's Grey Treefrog,Hyla chrysoscelis,1,Amphibians
Wood Thrush,Hylocichla mustelina,3,Birds
Northern Bottlenose Whale,Hyperoodon ampullatus,0,Mammals
Greenish-white Grasshopper,Hypochlora alba,0,Insects
Seaside Bone Lichen,Hypogymnia heterophylla,0,Lichens
Desert Nightsnake,Hypsiglena chlorophaea,0,Reptiles
Chestnut Lamprey,Ichthyomyzon castaneus,0,Fishes
Northern Brook Lamprey,Ichthyomyzon fossor,0,Fishes
Silver Lamprey,Ichthyomyzon unicuspis,0,Fishes
Yellow-breasted Chat virens subspecies,Icteria virens virens,2,Birds
Bigmouth Buffalo,Ictiobus cyprinellus,0,Fishes
Black Buffalo,Ictiobus niger,0,Fishes
Shagreen,Inflectarius inflectus,0,Snails
Dwarf Lake Iris,Iris lacustris,0,Flowering Plants
Western Blue Flag,Iris missouriensis,0,Flowering Plants
Bolander's Quillwort,Isoetes bolanderi,0,Ferns and Allies
Engelmann's Quillwort,Isoetes engelmannii,0,Ferns and Allies
Columbia Quillwort,Isoetes minima,0,Ferns and Allies
Prototype Quillwort,Isoetes prototypus,0,Ferns and Allies
Delicate Luster Moss,Isopterygium tenerum,0,Mosses
Small Whorled Pogonia,Isotria medeoloides,0,Flowering Plants
Large Whorled Pogonia,Isotria verticillata,0,Flowering Plants
Shortfin Mako,Isurus oxyrinchus,0,Fishes
Least Bittern,Ixobrychus exilis,4,Birds
Butternut,Juglans cinerea,0,Flowering Plants
New Jersey Rush,Juncus caesariensis,0,Flowering Plants
Kellogg's Rush,Juncus kelloggii,0,Flowering Plants
American Water-willow,Justicia americana,0,Flowering Plants
Pygmy Sperm Whale,Kogia breviceps,0,Mammals
Dwarf Sperm Whale,Kogia simus,1,Mammals
Pygmy Slug,Kootenaia burkei,0,Snails
Brook Silverside,Labidesthes sicculus,1,Fishes
Redroot,Lachnanthes caroliniana,0,Flowering Plants
Atlantic White-sided Dolphin,Lagenorhynchus acutus,1,Mammals
White-beaked Dolphin,Lagenorhynchus albirostris,1,Mammals
Pacific White-sided Dolphin,Lagenorhynchus obliquidens,0,Mammals
Porbeagle,Lamna nasus,0,Fishes
Western Brook Lamprey,Lampetra richardsoni,0,Fishes
Eastern Milksnake,Lampropeltis triangulum,0,Reptiles
